% Bus Data
%	Bus_I	Pd	Qd	Bs	Type	Vm	Va	basekV	Vmax	Vmin
bus=[
1	0	        0       	0	1	1	0	32	1.05	0.95
2	0	        0	        0	3	1	0	32	1.05	0.95
3	0	        0	        0	3	1	0	32	1.05	0.95
4	0	        0	        0	3	1	0	32	1.05	0.95
5	0	        0        	0	3	1	0	32	1.05	0.95
6   2           2           0   3	1	0	32	1.05	0.95
7   37          27          0	3	1	0	32	1.05	0.95
8	69          50	        0   3   1	0	32	1.05	0.95
9	28	        20	        0   3   1	0	32	1.05	0.95
10	26	        17          0   3	1	0	32	1.05	0.95
11	133         95          0   3   1	0	32	1.05	0.95
12	225         95          0   3	1	0	32	1.05	0.95
13	7           5           0   3   1   0	32	1.05	0.95
14	36          5           0   3	1	0	32	1.05	0.95
15	0	        0	        0   3	1	0	32	1.05	0.95
16	41          27          0   3	1	0	32	1.05	0.95
17	0           0	        0   3   1	0	32	1.05	0.95
18	78          83	        0	3	1	0	32	1.05	0.95
19	26	        52	        0	3	1	0	32	1.05	0.95
20	61          35          0	3	1	0	32	1.05	0.95
21	78	        78	        0   3	1	0	32	1.05	0.95
22	44   	    61          0   3	1	0	32	1.05	0.95
23	74	        39	        0   3	1	0	32	1.05	0.95
24	26	        52	        0   3	1	0	32	1.05	0.95
25	52	        17	        0   3	1	0	32	1.05	0.95
26  12          61          0   3	1	0	32	1.05	0.95
27  35          43	        0	3	1	0	32	1.05	0.95
28  78          26          0   3	1	0	32	1.05	0.95
29  43          44          0   3	1	0	32	1.05	0.95
30	69	        35	        0   3	1	0	32	1.05	0.95
31	52          69	        0	3 	1	0	32	1.05	0.95
32	78	        35	        0   3	1	0	32	1.05	0.95
33  70	        70	        0   3	1	0	32	1.05	0.95
34  40          94	        0   3	1	0	32	1.05	0.95
35  70	        70	        0   3	1	0	32	1.05	0.95
36  85          50          0   3	1	0	32	1.05	0.95
37  65          38          0   3	1	0	32	1.05	0.95
38	99	        99	        0   3	1	0	32	1.05	0.95
39	24          17	        0   3	1	0	32	1.05	0.95
40  43          17	        0   3	1	0	32	1.05	0.95
41  1           1	        0   3	1	0	32	1.05	0.95
42	0	        0	        0   3	1	0	32	1.05	0.95
43	6           4           0   3	1	0	32	1.05	0.95
44	0           0	        0	3	1	0	32	1.05	0.95
45  39          26          0	3	1	0	32	1.05	0.95
46  39          26          0	3	1	0	32	1.05	0.95
47	0           0	        0	3	1	0	32	1.05	0.95
48  78          65          0   3	1	0	32	1.05	0.95
49  379         271         0   3	1	0	32	1.05	0.95
50  368         263         0   3	1	0	32	1.05	0.95
51	37          26          0   3	1	0	32	1.05	0.95
52	3           3           0	3	1	0	32	1.05	0.95
53	4           3           0	3	1	0	32	1.05	0.95
54	24          18	        0   3   1	0	32	1.05	0.95
55	22          16          0	3	1	0	32	1.05	0.95
56	0	        0	        0   3	1	0	32	1.05	0.95
57	0	        0	        0   3	1	0	32	1.05	0.95
58	0	        0	        0   3	1	0	32	1.05	0.95
59  92          66	        0	3	1	0	32	1.05	0.95
60  0           0	        0   3	1	0	32	1.05	0.95
61  1143        816         0   3	1	0	32	1.05	0.95
62  29          21	        0   3	1	0	32	1.05	0.95
63	0	        0	        0   3	1	0	32	1.05	0.95
64  208         149         0   3	1	0	32	1.05	0.95
65  54          39	        0   3	1	0	32	1.05	0.95
66  17          12	        0   3	1	0	32	1.05	0.95
67  17          12	        0	3	1	0	32	1.05	0.95
68  26          18	        0   3	1	0	32	1.05	0.95
69  25          18	        0   3   1	0	32	1.05	0.95
70	81   	    386  	    0	3	1	0	32	1.05	0.95
71	0	        0       	0	3	1	0	32	1.05	0.95
72	0	        0   	    0	3	1	0	32	1.05	0.95
73	0	        0   	    0	3	1	0	32	1.05	0.95
74	0	        0   	    0	3	1	0	32	1.05	0.95
75	0	        0   	    0	3	1	0	32	1.05	0.95
76	0	        0   	    0	3	1	0	32	1.05	0.95
77	0	        0       	0	3	1	0	32	1.05	0.95
78	0   	    0       	0	3	1	0	32	1.05	0.95
79	11  	    53      	0	3	1	0	32	1.05	0.95
80	73  	    35      	0	3	1	0	32	1.05	0.95
81	37  	    18      	0	3	1	0	32	1.05	0.95
82	55  	    18      	0	3	1	0	32	1.05	0.95
83	81  	    18      	0	3	1	0	32	1.05	0.95
84	0	        0       	0	3	1	0	32	1.05	0.95
85	0	        0    	    0	3	1	0	32	1.05	0.95
86	0	        0    	    0	3	1	0	32	1.05	0.95
87	0	        0   	    0	3	1	0	32	1.05	0.95
88	0	        0    	    0	3	1	0	32	1.05	0.95
89	0	        0	        0	3	1	0	32	1.05	0.95
90	0	        0   	    0	3	1	0	32	1.05	0.95
91	0	        0     	    0	3	1	0	32	1.05	0.95
92	0	        0     	    0	3	1	0	32	1.05	0.95
93	0	        0    	    0	3	1	0	32	1.05	0.95
94	0	        0	        0	3	1	0	32	1.05	0.95
95	0	        0    	    0	3	1	0	32	1.05	0.95
96	0	        0	        0	3	1	0	32	1.05	0.95
97	0	        0    	    0	3	1	0	32	1.05	0.95
98	0	        0	        0	3	1	0	32	1.05	0.95
99	0	        0   	    0	3	1	0	32	1.05	0.95
100	0	        0   	    0	3	1	0	32	1.05	0.95
101	0	        0   	    0	3	1	0	32	1.05	0.95
102	0	        0    	    0	3	1	0	32	1.05	0.95
103	0	        0   	    0	3	1	0	32	1.05	0.95
104	0	        0   	    0	3	1	0	32	1.05	0.95
105	0	        0   	    0	3	1	0	32	1.05	0.95
106	0	        0	        0	3	1	0	32	1.05	0.95
107	66	        97      	0	3	1	0	32	1.05	0.95
108	70    	    33      	0	3	1	0	32	1.05	0.95
109	35   	    17      	0	3	1	0	32	1.05	0.95
110	70  	    17   	    0	3	1	0	32	1.05	0.95
111	35	        17      	0	3	1	0	32	1.05	0.95
112	205  	    98      	0	3	1	0	32	1.05	0.95
113	137  	    65      	0	3	1	0	32	1.05	0.95
